leiden,gene,expression
13,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
2,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
6,CD3D,0.0
13,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
8,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
0,CD3D,0.0
7,CD3D,0.0
16,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
0,CD3D,0.0
8,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
4,CD3D,0.0
10,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
2,CD3D,0.0
2,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
9,CD3D,0.0
3,CD3D,0.0
0,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
8,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
3,CD3D,0.0
8,CD3D,0.0
8,CD3D,0.0
8,CD3D,0.0
10,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
10,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
0,CD3D,0.0
13,CD3D,0.0
3,CD3D,0.0
13,CD3D,0.0
13,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
10,CD3D,0.0
13,CD3D,0.0
1,CD3D,0.0
0,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
3,CD3D,0.0
16,CD3D,0.0
1,CD3D,2.3507724
6,CD3D,0.0
7,CD3D,0.0
4,CD3D,0.0
1,CD3D,3.0886211
2,CD3D,0.0
11,CD3D,1.9687096
1,CD3D,2.1183105
6,CD3D,0.0
2,CD3D,0.0
2,CD3D,0.0
4,CD3D,2.6896002
1,CD3D,0.0
1,CD3D,0.0
2,CD3D,0.0
1,CD3D,0.0
5,CD3D,0.0
1,CD3D,3.454533
1,CD3D,0.0
2,CD3D,0.0
2,CD3D,0.0
0,CD3D,0.0
13,CD3D,0.0
4,CD3D,2.0521038
1,CD3D,2.4604826
11,CD3D,1.4459066
6,CD3D,0.0
1,CD3D,0.0
6,CD3D,0.0
0,CD3D,0.0
4,CD3D,1.1848351
1,CD3D,2.4353912
9,CD3D,0.0
2,CD3D,0.0
10,CD3D,0.0
2,CD3D,0.0
1,CD3D,0.0
1,CD3D,2.0202518
2,CD3D,0.0
13,CD3D,0.0
4,CD3D,3.4795938
1,CD3D,0.0
0,CD3D,0.0
1,CD3D,1.6120028
4,CD3D,2.3672545
1,CD3D,0.0
10,CD3D,0.0
0,CD3D,0.0
4,CD3D,0.0
5,CD3D,0.0
10,CD3D,0.0
4,CD3D,2.4123046
1,CD3D,0.0
1,CD3D,1.4709696
1,CD3D,1.5116471
4,CD3D,3.3240917
2,CD3D,0.0
1,CD3D,1.232255
1,CD3D,1.4079024
2,CD3D,0.0
4,CD3D,2.1873305
9,CD3D,0.0
1,CD3D,0.0
4,CD3D,1.4992348
1,CD3D,3.1480384
1,CD3D,1.5073916
13,CD3D,0.0
2,CD3D,0.0
15,CD3D,0.0
15,CD3D,0.0
0,CD3D,0.0
